order_number,product_number,unit_price,"order quantity",discount
H0248,11,1400,12,0
H0249,14,1900,9,0
H0250,41,800,10,0
H0251,22,1700,6,0.05
H0252,20,6500,40,0.05
H0253,31,1000,20,0
H0254,24,400,15,0.15
H0255,2,1500,20,0
H0256,53,2600,15,0
H0257,27,3500,25,0
H0258,2,1500,50,0.2
H0259,21,800,10,0
H0260,41,800,16,0.25
H0261,21,800,20,0
H0262,5,1700,12,0.2
H0263,16,1400,60,0.25
H0264,2,1500,35,0
H0265,17,3100,30,0
H0266,12,3000,12,0.05
H0267,40,1500,50,0
H0268,29,9900,10,0
H0269,33,200,60,0.05
H0270,36,1500,30,0
H0271,33,200,24,0
H0272,20,6500,6,0
H0273,10,2500,24,0.05
H0274,71,1700,20,0
H0275,24,400,12,0.05
H0276,10,2500,15,0
H0277,28,3600,20,0
H0278,44,1600,16,0
H0279,17,3100,15,0.25
H0280,24,400,12,0
H0281,19,700,1,0
H0282,30,2100,6,0
H0283,15,1200,20,0
H0284,27,3500,15,0.25
H0285,1,1400,45,0.2
H0286,35,1400,100,0
H0287,16,1400,40,0.15
H0288,54,600,10,0.1
H0289,3,800,30,0
H0290,5,1700,20,0
H0291,13,500,20,0.1
H0292,20,6500,20,0
H0293,18,5000,12,0
H0294,1,1400,18,0
H0295,56,3000,4,0
H0296,11,1700,12,0
H0297,39,1400,60,0
H0298,2,1500,40,0
H0299,19,700,15,0
H0300,66,1400,30,0
H0301,40,1500,10,0
H0302,17,3100,40,0
H0303,40,1500,40,0.1
H0304,49,1600,30,0
H0305,18,5000,25,0.1
H0306,30,2100,10,0
H0307,62,3900,10,0
H0308,69,2900,1,0
H0309,4,1800,20,0
H0310,16,1400,10,0
H0311,42,1100,6,0
H0312,28,3600,4,0
H0313,36,1500,12,0
H0314,32,2600,40,0.1
H0315,34,1100,14,0
H0316,41,800,10,0
H0317,1,1400,20,0
H0318,41,800,20,0
H0319,17,3100,8,0
H0320,71,1700,30,0
H0321,35,1400,10,0
H0322,52,600,20,0
H0323,15,1200,5,0
H0324,16,1400,21,0.15
H0325,6,2000,6,0
H0326,4,1800,24,0
H0327,2,1500,25,0.2
H0328,59,4400,9,0
H0329,19,700,10,0.05
H0330,26,2500,50,0.15
H0331,54,600,15,0
H0332,18,5000,40,0.2
H0333,14,1900,10,0
H0334,52,600,8,0
H0335,2,1500,7,0.2
H0336,4,1800,18,0.1
H0337,23,700,40,0
H0338,17,3100,20,0
H0339,4,1800,10,0
H0340,18,5000,20,0.05
H0341,33,200,8,0
H0342,2,1500,24,0.2
H0343,64,2700,50,0
H0344,4,1800,35,0
H0345,8,3200,70,0
H0346,17,3100,36,0.1
H0347,25,1100,10,0
H0348,1,1400,15,0.15
H0349,54,600,24,0
H0350,50,1300,15,0.1
H0351,38,21100,20,0.05
H0352,24,400,10,0
H0353,11,1700,12,0.2
H0354,1,1400,12,0
H0355,24,400,25,0
H0356,31,1000,30,0
H0357,10,2500,30,0.2
H0358,24,400,10,0.05
H0359,16,1400,56,0.05
H0360,28,3600,30,0
H0361,39,1400,54,0.1
H0362,25,1100,50,0
H0363,31,1000,20,0
H0364,69,2900,30,0
H0365,11,1700,24,0
H0366,65,1700,5,0
H0367,34,1100,36,0
H0368,21,800,5,0.1
H0369,29,9900,20,0
H0370,1,1400,15,0.15
H0371,36,1500,6,0.2
H0372,20,6500,12,0.25
